Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-05,17:00,24.9,1.6,207.9,1007.9,23.0,98.9,0.4,0.0,89.3,Nublado - Llovizna
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-05,18:00,23.9,1.7,187.9,1008.5,22.7,98.9,0.4,0.0,93.0,Nublado - Llovizna
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-05,19:00,22.8,1.6,180.9,1009.5,22.2,100.0,0.4,0.0,96.1,Nublado - Llovizna
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-05,20:00,22.4,1.8,177.9,1010.3,22.0,80.9,0.0,0.0,97.6,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-05,21:00,22.2,1.7,170.9,1011.1,21.8,88.1,0.0,0.0,97.8,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-05,22:00,22.2,1.4,177.9,1011.5,21.8,90.9,0.0,0.0,98.0,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-05,23:00,22.0,1.5,180.9,1011.4,21.7,90.9,0.0,0.0,98.1,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-06,00:00,21.8,1.4,178.1,1011.0,21.5,90.9,0.0,0.0,98.4,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-06,01:00,21.7,1.8,188.1,1010.4,21.5,90.9,0.0,0.0,98.4,Nublado
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-06,02:00,21.6,1.6,188.1,1009.9,21.3,100.0,0.1,0.0,98.3,Nublado - Llovizna
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-06,03:00,21.5,1.6,190.9,1009.6,21.2,100.0,0.3,0.0,98.2,Nublado - Llovizna
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-06,04:00,21.5,1.3,188.1,1009.5,21.2,100.0,0.4,0.0,98.4,Nublado - Llovizna
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-06,05:00,21.4,1.0,178.1,1009.8,21.2,100.0,0.5,0.0,98.6,Nublado - Llovizna
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-06,06:00,21.4,0.8,180.0,1010.1,21.2,100.0,0.5,0.0,98.6,Nublado - Llovizna
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-06,07:00,21.9,0.8,190.0,1010.7,21.6,100.0,0.8,0.0,98.3,Nublado - Lluvia
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-06,08:00,22.6,0.9,172.1,1011.4,22.0,100.0,1.0,0.0,96.7,Nublado - Lluvia
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-06,09:00,22.7,0.8,145.1,1012.0,22.0,100.0,1.0,0.0,96.2,Nublado - Lluvia
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-06,10:00,23.7,0.5,163.0,1011.9,22.6,100.0,1.0,0.0,93.8,Nublado - Lluvia
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-06,11:00,24.0,0.5,238.9,1011.6,22.9,100.0,0.8,0.0,93.4,Nublado - Lluvia
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-06,12:00,24.7,1.1,207.9,1010.6,22.9,100.0,0.6,0.0,89.9,Nublado - Lluvia
05147000,7.755115,-76.653211,,ANTIOQUIA,2022-08-06,13:00,25.1,1.1,195.8,1009.8,23.1,100.0,0.0,0.0,88.6,Nublado
